universe,ptm,radius,n_proteins,n_successes,fraction,fraction_ci_low,fraction_ci_high,mean_observed_close_pair_fraction,mean_null_close_pair_fraction,group_fold,median_excess,mean_excess
all_eligible_residues,acetylation,5,4106,1891,0.46054554310764734,0.4453436300848334,0.4758212121003514,0.07276812704882335,0.028995394825362248,2.50964428962261,-0.0026998068772339503,0.043772732223461085
all_eligible_residues,acetylation,10,4106,2519,0.6134924500730639,0.5984985806860561,0.6282741572256965,0.1345586769054961,0.05622647209039652,2.3931552505937628,0.016202266202266148,0.07833220481509959
all_eligible_residues,acetylation,15,4106,2765,0.673404773502192,0.6589041067807292,0.6875812781831504,0.17681447506785716,0.08188613090717962,2.159272554570708,0.029073197022551497,0.0949283441606775
all_eligible_residues,acetylation,20,4106,2848,0.6936190940087676,0.6793431951093156,0.7075330423152408,0.20845303769247697,0.1060850651109078,1.9649612080130925,0.036082562398351795,0.10236797258156913
all_eligible_residues,acetylation,25,4106,2851,0.6943497320993668,0.680082543529975,0.7082536042244855,0.23524658025462242,0.1297032562413238,1.8137291774458335,0.0402812587023113,0.10554332401329858
all_eligible_residues,acetylation,30,4106,2853,0.6948368241597662,0.6805754656292805,0.7087339556784492,0.2589474175074232,0.15233740785185126,1.699828171943497,0.04269500614328195,0.10661000965557195
all_eligible_residues,oglcnac,5,1057,838,0.7928098391674551,0.7673376112746226,0.8161614543521336,0.20955748398702478,0.018114481280495854,11.568505923084787,0.1360269495398461,0.1914430027065289
all_eligible_residues,oglcnac,10,1057,919,0.8694418164616841,0.8477856581711926,0.888422371319109,0.3092006434647377,0.03470064200128008,8.91051651013637,0.2254269780411293,0.2745000014634576
all_eligible_residues,oglcnac,15,1057,938,0.8874172185430463,0.8669421226085207,0.9050865280349579,0.3616679770927621,0.050829831355924206,7.115270057857663,0.2583713850837138,0.3108381457368378
all_eligible_residues,oglcnac,20,1057,941,0.8902554399243141,0.8699799986732826,0.9077045395206977,0.3892209933249197,0.06630790826014053,5.869903055875628,0.2624854819976771,0.32291308506477917
all_eligible_residues,oglcnac,25,1057,943,0.8921475875118259,0.8720074197075384,0.9094477101867763,0.4093112678950148,0.08170203214806328,5.009805229241381,0.2605924259467566,0.32760923574695155
