universe,radius,contrast,n_proteins,n_successes,fraction,fraction_ci_low,fraction_ci_high,median_paired_excess_difference,mean_paired_excess_difference
all_eligible_residues,5,oglcnac_excess_greater_than_phospho,1022,781,0.764187866927593,0.7372026073226007,0.7891945229130825,0.10863902179691651,0.16189172033317373
all_eligible_residues,10,oglcnac_excess_greater_than_phospho,1022,854,0.8356164383561644,0.8116449892742416,0.8570743280251633,0.16976911976911974,0.22673694554933627
all_eligible_residues,15,oglcnac_excess_greater_than_phospho,1022,866,0.8473581213307241,0.8240110811468266,0.8681036641630528,0.1963132468853293,0.25250736124315126
all_eligible_residues,20,oglcnac_excess_greater_than_phospho,1022,863,0.8444227005870841,0.8209155024414317,0.865350385865829,0.2,0.25962621474769987
all_eligible_residues,25,oglcnac_excess_greater_than_phospho,1022,859,0.8405088062622309,0.8167923224525768,0.8616750898511925,0.2002032520325204,0.2607545735948252
all_eligible_residues,30,oglcnac_excess_greater_than_phospho,1022,862,0.8434442270058709,0.8198842558238713,0.8644320134825167,0.1988729133479929,0.26326260850562866
observed_residue_union,5,oglcnac_excess_greater_than_phospho,959,731,0.762252346193952,0.7342964659172945,0.7881156045144083,0.10049019607843131,0.1573876762750203
observed_residue_union,10,oglcnac_excess_greater_than_phospho,959,799,0.8331595411887383,0.8082431435728923,0.8554175184665871,0.1666666666666666,0.22137923305149018
observed_residue_union,15,oglcnac_excess_greater_than_phospho,959,809,0.8435870698644421,0.8192311927813639,0.8652013209651414,0.1876152832674572,0.24566834567468324
observed_residue_union,20,oglcnac_excess_greater_than_phospho,959,807,0.8415015641293013,0.8170308317698035,0.8632473116352967,0.1975490196078431,0.2527960665367886
observed_residue_union,25,oglcnac_excess_greater_than_phospho,959,804,0.8383733055265902,0.8137329029571392,0.860313684935853,0.19886363636363638,0.254144877090332
observed_residue_union,30,oglcnac_excess_greater_than_phospho,959,809,0.8435870698644421,0.8192311927813639,0.8652013209651414,0.1956815114709852,0.256657429107464
