restriction,radius,n_proteins,n_sites,n_positive_excess,positive_excess_fraction,positive_excess_fraction_ci_low,positive_excess_fraction_ci_high,mean_observed_close_pair_fraction,mean_null_close_pair_fraction,group_fold,group_fold_ci_low,group_fold_ci_high,mean_effect,resampling_unit
all_strict_sites,5,1057,9283,838,0.7928098391674551,0.7673376112746226,0.8161614543521336,0.2095574839870248,0.0181144812804959,11.568505923084759,10.733264862214046,12.460959916101979,0.1914430027065289,protein
all_strict_sites,10,1057,9283,919,0.8694418164616841,0.8477856581711926,0.888422371319109,0.3092006434647377,0.03470064200128012,8.91051651013636,8.373350310461165,9.471610414069882,0.2745000014634576,protein
all_strict_sites,15,1057,9283,938,0.8874172185430463,0.8669421226085207,0.9050865280349579,0.36166797709276216,0.05082983135592425,7.115270057857659,6.717336739759828,7.54528291075068,0.3108381457368379,protein
all_strict_sites,20,1057,9283,941,0.8902554399243141,0.8699799986732826,0.9077045395206977,0.3892209933249197,0.06630790826014059,5.869903055875623,5.555996830947602,6.197253323990486,0.32291308506477917,protein
all_strict_sites,25,1057,9283,943,0.8921475875118259,0.8720074197075384,0.9094477101867763,0.4093112678950148,0.08170203214806332,5.009805229241378,4.754976062521759,5.281427673428077,0.3276092357469515,protein
all_strict_sites,30,1057,9283,946,0.8949858088930936,0.8750519067661532,0.9120591106786634,0.42788556775378855,0.09664112465166351,4.427572312471255,4.20493148788357,4.654866839876933,0.3312444431021251,protein
two_distinct_mapped_peptides,5,137,1111,116,0.8467153284671532,0.7770140049987855,0.8975032912253675,0.2620109088252367,0.016027002110107037,16.348092239908418,13.539856481798534,19.686894105318668,0.2459839067151296,protein
two_distinct_mapped_peptides,10,137,1111,125,0.9124087591240876,0.8531360861969796,0.9491844872064866,0.3539952509029984,0.031037507325385405,11.405402089537894,9.63205917849144,13.420717824533995,0.3229577435776129,protein
two_distinct_mapped_peptides,15,137,1111,130,0.948905109489051,0.8982903384900498,0.9750320555685905,0.42068945444713685,0.04542183324213458,9.261833449225325,7.9384953880128,10.740678158544693,0.37526762120500223,protein
two_distinct_mapped_peptides,20,137,1111,131,0.9562043795620438,0.9077469207673288,0.9797758374223464,0.46456563722137184,0.059504411746246565,7.807246951746832,6.796290108605394,8.948275939090113,0.4050612254751253,protein
two_distinct_mapped_peptides,25,137,1111,133,0.9708029197080292,0.9273350116145921,0.9885884748371526,0.49450010345206996,0.07310516721571465,6.764229154868446,5.96115110113088,7.677071284574797,0.4213949362363552,protein
two_distinct_mapped_peptides,30,137,1111,133,0.9708029197080292,0.9273350116145921,0.9885884748371526,0.5171810002307793,0.08649632245191,5.979225307738607,5.286752842300446,6.747468722101599,0.43068467777886926,protein
two_independent_publications,5,325,2991,284,0.8738461538461538,0.8333284059339534,0.9056295127891218,0.27047163529720636,0.016047154700337227,16.85480325627586,14.940258575915495,19.002326547169183,0.25442448059686906,protein
two_independent_publications,10,325,2991,305,0.9384615384615385,0.9068654561883872,0.9598135842892938,0.396223988011724,0.031059785842196496,12.756816483693555,11.517876095142194,14.115675488388595,0.3651642021695275,protein
two_independent_publications,15,325,2991,315,0.9692307692307692,0.9442961219421538,0.9832025003234345,0.4795276469595148,0.045387760016895186,10.565131365394876,9.606221681179175,11.600040866632296,0.43413988694261957,protein
two_independent_publications,20,325,2991,315,0.9692307692307692,0.9442961219421538,0.9832025003234345,0.509713534968109,0.05936227736773658,8.586488887724824,7.849989462701497,9.393215323388704,0.4503512576003725,protein
two_independent_publications,25,325,2991,315,0.9692307692307692,0.9442961219421538,0.9832025003234345,0.5350908250607934,0.07314309532946954,7.315671050705506,6.699805324712702,7.997597629514531,0.4619477297313238,protein
two_independent_publications,30,325,2991,317,0.9753846153846154,0.9521871951730067,0.9874753434501632,0.5552400782137941,0.08665994155475865,6.407113462717364,5.875231198113261,6.9921976830897625,0.4685801366590353,protein
