radius,n_proteins,n_all_proteins,n_degenerate_null_proteins,n_sites,n_positive_excess,positive_excess_fraction,positive_excess_fraction_ci_low,positive_excess_fraction_ci_high,mean_observed_close_pair_fraction,mean_null_close_pair_fraction,group_fold,group_fold_ci_low,group_fold_ci_high,mean_effect,mean_effect_ci_low,mean_effect_ci_high,population_t_p_greater,all_protein_group_fold,resampling_unit
5,660,1057,397,7505,415,0.6287878787878788,0.5912832273716613,0.6648020136767101,0.21100519478277222,0.17839358621387985,1.1828070686902028,1.1313941075392717,1.233956801385741,0.03261160856889235,0.023442669690970745,0.041780547446813955,3.5148921194643145e-12,1.1076298252504848,protein
10,572,1057,485,7152,382,0.6678321678321678,0.6282274250493132,0.7051976819119157,0.29959135276818427,0.2716290029450315,1.1029431670402714,1.0696034998640114,1.1364428970318587,0.02796234982315277,0.018924733878081676,0.03699996576822386,1.1195448352986374e-09,1.051457170797522,protein
15,465,1057,592,6572,321,0.6903225806451613,0.6468821590438125,0.7306441809799964,0.3451431366932301,0.31652854994404767,1.0904012821410283,1.0639834766330007,1.1172593933514077,0.028614586749182443,0.020199954984558868,0.037029218513806014,3.3765241022900466e-11,1.0360612535191716,protein
20,414,1057,643,6327,277,0.6690821256038647,0.6223836831551938,0.7126716280030926,0.3476872332032711,0.32705023480354245,1.0631003931616965,1.0399557840577798,1.0871200871137878,0.020636998399728636,0.012964855823544012,0.02830914097591326,1.0069479092817963e-07,1.021207507363984,protein
25,349,1057,708,5838,223,0.6389684813753582,0.5873173428098231,0.6875936620482914,0.3536643777136128,0.338532891774996,1.0446972400799206,1.0221206290907943,1.067707787284378,0.015131485938616848,0.0073092260090313645,0.02295374586820233,8.386925229328508e-05,1.012356970079886,protein
30,324,1057,733,5677,198,0.6111111111111112,0.557022883513094,0.6625954657310719,0.38192656851711754,0.3661697183162522,1.0430315490677917,1.0199570259270756,1.0667219170962712,0.015756850200865317,0.007017660310497444,0.02449604009123319,0.0002235620046035716,1.0114167351467684,protein
