fold,n_test,n_test_positive,selected,inner_average_precision,baseline_auroc,baseline_average_precision,enhanced_auroc,enhanced_average_precision
0,62808,652,enhanced,"{""enhanced"": 0.20095522372245772, ""enhanced_balanced"": 0.19289873930052628, ""legacy"": 0.17912518386220622}",0.9201418102166841,0.24096170333085296,0.9373228285292063,0.2558143723462022
1,62808,613,enhanced,"{""enhanced"": 0.2395430545007907, ""enhanced_balanced"": 0.2225040046605172, ""legacy"": 0.21309955650499712}",0.8841022689911106,0.14135593096053034,0.8963101239103923,0.16253933165476522
2,62810,578,enhanced,"{""enhanced"": 0.21037976560023847, ""enhanced_balanced"": 0.21008496487273853, ""legacy"": 0.17235993277087483}",0.9331612848628483,0.24208732329542323,0.9387594906613539,0.25027250644810084
3,62807,484,enhanced,"{""enhanced"": 0.22777674249445246, ""enhanced_balanced"": 0.21882832190658347, ""legacy"": 0.2050944611659524}",0.9034218626157542,0.12406246418776956,0.9190386181931693,0.1410759343285545
4,62807,869,enhanced,"{""enhanced"": 0.17311635285843022, ""enhanced_balanced"": 0.16579254595432197, ""legacy"": 0.16743590131780417}",0.9369700819272074,0.22902765773761308,0.9488652504169044,0.2765431927940974
