radius,phosphosite_cdf,control_cdf,difference,ci_low,ci_high,n_proteins
0,0.0593627478049588,0.0597492959302004,0.0010334695422943,-0.0086434559932428,0.0109186729970452,471
1,0.0613507095919156,0.0617372577171572,0.0019857509220199,-0.0075939295006137,0.0116598865931339,471
2,0.0643878734330995,0.0643326522723507,0.0028072458168239,-0.0064693259015267,0.012752564140533,471
3,0.0681981335247667,0.0674250372742835,0.0041517133941231,-0.006021559616176,0.0145487980710875,471
4,0.072505384063173,0.0707383069192114,0.0063174098682842,-0.0043607549030914,0.0167140932339915,471
5,0.0771439615660721,0.0736098072781489,0.0086490981303555,-0.002261968377738,0.0194862162960556,471
6,0.0816720967474736,0.0778618366558065,0.0095261094726742,-0.0014322610022527,0.020201069577717,471
7,0.0863106742503727,0.082113866033464,0.0092829970050935,-0.0022281346163451,0.0212689831719163,471
8,0.0904522613065326,0.0861450107681263,0.0093847843202966,-0.0021683984345016,0.0214285034686151,471
9,0.0950356176486829,0.0902313766635374,0.0091559728249634,-0.002966040110454,0.0216364371221206,471
10,0.0992324258655917,0.0950908388094317,0.0096184085092197,-0.0030638077506967,0.0218084445243059,471
11,0.1035948975647468,0.0992324258655917,0.0103575878389539,-0.00193918363149,0.0227901505900727,471
12,0.1082886962283947,0.1027665801535148,0.0107400192374363,-0.0015120715428231,0.0236618471817691,471
13,0.1128168314097962,0.1067977248881771,0.0132716172692095,5.351598514684711e-05,0.0268502860407916,471
14,0.1160748798939753,0.1100005522116074,0.0126677481432625,-4.081163065605066e-05,0.0258441501531186,471
15,0.1202164669501353,0.1130377160527914,0.0138008104783023,0.0009504519163769,0.0275564011415581,471
16,0.1238058423988072,0.1164062068584681,0.0148026193701057,0.0019067683072824,0.0286278171767649,471
17,0.1285548622232039,0.1190016014136617,0.0171920025233307,0.0042568696363883,0.030766461502594,471
18,0.1319233530288806,0.121928322933348,0.0184371943813968,0.0051216846872054,0.0320400517024986,471
19,0.1357336131205478,0.1253520348997736,0.0167246690277389,0.00327595763745,0.0306441223563033,471
20,0.1391573250869733,0.1286653045447015,0.0168913329062487,0.0037428129997124,0.0309781884139156,471
21,0.1430228063393892,0.1324203434756198,0.0161937580617702,0.0023879806165962,0.0304162704756789,471
22,0.1467226241095587,0.1355127284775526,0.0181070906555699,0.0041662445572483,0.0321988231069016,471
23,0.1501463360759843,0.1394334308907173,0.0179320038951541,0.0041884923326575,0.0327935994049626,471
24,0.1535700480424098,0.1435197967861284,0.0172637205838335,0.0031840105742769,0.0318625981168234,471
25,0.1567176542050914,0.1473300568777955,0.0161052966502096,0.0023353537395937,0.030748856658659,471
26,0.1598100392070241,0.1507537688442211,0.0160634142950502,0.0022484872098317,0.0308542047143364,471
27,0.162571097244464,0.1539013750069026,0.015394522656483,0.0014417533876534,0.0298902507348395,471
28,0.1653873764426528,0.1566624330443426,0.014648008831464,0.0005807973837551,0.029177944304791,471
29,0.1689215307305759,0.1602518084930145,0.0143795229517643,0.0002300142906034,0.0291773302437455,471
30,0.1720139157325087,0.1632889723341984,0.0142694504909951,-0.0002760732729812,0.0294604467772485,471
31,0.1751063007344414,0.16643657849688,0.0137632469369572,-0.0002880513015081,0.0283812400225913,471
32,0.177977801093379,0.1694185211773151,0.0138142753895804,-0.00057366784908,0.0285502448085621,471
