outcome,coefficient,ci_low,ci_high,p_value,n_sites,n_proteins
acidic,-0.0194058626871951,-0.0240228682955431,-0.0147888570788471,1.751449593497465e-16,11902,3134
alanine,0.0152129494065921,0.0092974628499774,0.0211284359632068,4.643897557174936e-07,11902,3134
aromatic,0.0008402277692718,-0.0035756600668526,0.0052561156053962,0.7092006923283647,11902,3134
